Product Name,Price,Rating
Electrobot Core 2 Duo (4 GB RAM/Intel Onboard Graphic Graphics/320 GB Hard Disk/Windows 7 Ultimate) Mid Tower,"₹6,399",3.5
brozzo i3 530 (4 GB RAM/1 GB onboard Graphics/500 GB Hard Disk/120 GB SSD Capacity/Windows 10 (64-bit)/1GB Intel Integrated GB Graphics Memory) Microtower with MS Office,"₹11,499",4
Assembled Core2Duo Series Core 2 Duo (4 GB DDR3/500 GB/Windows 7 Ultimate/512 MB/15.6 Inch Screen/C2D/500/4GB),"₹10,889",3.1
Lenovo Core i5 (10400) (8 GB RAM/Intel UHD Graphics 630 Graphics/1 TB Hard Disk/Windows 10 Home (64-bit)) Full Tower with MS Office,"₹44,990",3.6
Lenovo ideacentre Core i3 (10th Gen) (8 GB DDR4/1 TB/Windows 10 Home/23.8 Inch Screen/A340-24IWL),"₹44,990",5
Electrobot Core 2 Duo (4 GB RAM/Intel Onboard Graphics Graphics/160 GB Hard Disk/Windows 7 Ultimate) Mid Tower,"₹6,400",3.6
ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-A20303 Chromebook,"₹24,990",4.2
ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-BR0300| C523NA-BR0476 Chromebook,"₹20,990",4
ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-BZ0522 Chromebook,"₹23,490",4.2
ASUS Chromebook Flip Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C214MA-BU0452 Chromebook,"₹22,990",4.1
ASUS Chromebook Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C223NA-GJ0074 Chromebook,"₹17,990",3.5
HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11a-na0006MU Chromebook,"₹23,490",3.8
